sym,time,action,price,size,orderid
TOPS,20201204  15:00:00,BUY,1.55,100,3.0
STPK,20201204  15:03:00,BUY,16.0,100,1.0
LAZR,20201204  15:04:00,BUY,31.4,100,1.0
LAZR,20201204  15:06:00,SELL,31.76,100,1.0
STPK,20201204  15:07:00,BUY,16.0,100,4.0
LAZR,20201204  15:07:00,BUY,31.4,100,4.0
LAZR,20201204  15:07:00,SELL,31.66,100,6.0
STPK,20201204  15:08:00,SELL,16.39,100,6.0
BCRX,20201204  15:07:00,BUY,5.915,100,1.0
BCRX,20201204  15:08:00,SELL,5.9761,100,3.0
BCRX,20201204  15:14:00,BUY,6.01,100,4.0
BCRX,20201204  15:16:00,SELL,5.98,100,6.0
BCRX,20201204  15:26:00,BUY,6.04,100,7.0
STPK,20201204  15:26:00,BUY,16.6,100,7.0
BCRX,20201204  15:28:00,SELL,6.035,100,9.0
BCRX,20201204  15:29:00,BUY,6.04,100,10.0
BCRX,20201204  15:29:00,SELL,6.04,100,12.0
BCRX,20201204  15:29:00,BUY,6.04,100,13.0
BCRX,20201204  15:29:00,SELL,6.04,100,15.0
BCRX,20201204  15:29:00,BUY,6.04,100,16.0
BCRX,20201204  15:29:00,SELL,6.04,100,18.0
BCRX,20201204  15:29:00,BUY,6.04,100,19.0
BCRX,20201204  15:29:00,SELL,6.04,100,21.0
BCRX,20201204  15:29:00,BUY,6.04,100,22.0
BCRX,20201204  15:29:00,SELL,6.0399,100,24.0
BCRX,20201204  15:29:00,BUY,6.04,100,25.0
BCRX,20201204  15:29:00,SELL,6.035,100,27.0
BCRX,20201204  15:29:00,BUY,6.04,100,28.0
BCRX,20201204  15:29:00,SELL,6.035,100,30.0
BCRX,20201204  15:29:00,BUY,6.04,100,31.0
BCRX,20201204  15:29:00,SELL,6.035,100,33.0
STPK,20201204  15:30:00,SELL,16.53,100,9.0
STPK,20201204  15:30:00,BUY,16.6,100,10.0
STPK,20201204  15:30:00,SELL,16.6,100,12.0
STPK,20201204  15:30:00,BUY,16.6,100,13.0
STPK,20201204  15:30:00,SELL,16.57,100,15.0
STPK,20201204  15:30:00,BUY,16.6,100,16.0
STPK,20201204  15:30:00,SELL,16.6,100,18.0
STPK,20201204  15:30:00,BUY,16.6,100,19.0
STPK,20201204  15:30:00,SELL,16.6,100,21.0
STPK,20201204  15:30:00,BUY,16.6,100,22.0
STPK,20201204  15:30:00,SELL,16.6,100,24.0
STPK,20201204  15:30:00,BUY,16.6,100,25.0
STPK,20201204  15:30:00,SELL,16.58,100,27.0
STPK,20201204  15:30:00,BUY,16.6,100,28.0
STPK,20201204  15:30:00,SELL,16.59,100,30.0
STPK,20201204  15:30:00,BUY,16.6,100,31.0
STPK,20201204  15:30:00,SELL,16.61,100,33.0
STPK,20201204  15:30:00,BUY,16.6,100,34.0
STPK,20201204  15:30:00,SELL,16.56,100,36.0
STPK,20201204  15:32:00,BUY,16.6,100,37.0
BCRX,20201204  15:33:00,BUY,6.05,100,34.0
BCRX,20201204  15:35:00,SELL,6.02,100,36.0
STPK,20201204  15:36:00,SELL,16.71,100,39.0
LAZR,20201204  15:38:00,BUY,30.7,100,7.0
STPK,20201204  15:39:00,BUY,16.76,100,40.0
LAZR,20201204  15:39:00,SELL,30.51,100,9.0
TOPS,20201204  15:39:00,BUY,1.67,100,6.0
BCRX,20201204  15:40:00,BUY,6.06,100,37.0
LAZR,20201204  15:40:00,BUY,30.7,100,10.0
TOPS,20201204  15:42:00,SELL,1.6443,100,8.0
STPK,20201204  15:44:00,SELL,17.35,100,42.0
STPK,20201204  15:44:00,BUY,16.76,100,43.0
STPK,20201204  15:44:00,SELL,17.44,100,45.0
STPK,20201204  15:44:00,BUY,16.76,100,46.0
STPK,20201204  15:44:00,SELL,17.46,100,48.0
STPK,20201204  15:44:00,BUY,16.76,100,49.0
STPK,20201204  15:44:00,SELL,17.45,100,51.0
STPK,20201204  15:44:00,BUY,16.76,100,52.0
LAZR,20201204  15:45:00,SELL,30.61,100,12.0
STPK,20201204  15:45:00,SELL,17.04,100,54.0
BCRX,20201204  15:48:00,SELL,6.1,100,39.0
BCRX,20201204  15:48:00,BUY,6.06,100,40.0
BCRX,20201204  15:48:00,SELL,6.1,100,42.0
BCRX,20201204  15:48:00,BUY,6.06,100,43.0
BCRX,20201204  15:48:00,SELL,6.1,100,45.0
BCRX,20201204  15:48:00,BUY,6.06,100,46.0
BCRX,20201204  15:48:00,SELL,6.1029,100,48.0
BCRX,20201204  15:48:00,BUY,6.06,100,49.0
BCRX,20201204  15:48:00,SELL,6.1025,100,51.0
BCRX,20201204  15:48:00,BUY,6.06,100,52.0
BCRX,20201204  15:48:00,SELL,6.1001,100,54.0
BCRX,20201204  15:48:00,BUY,6.06,100,55.0
BCRX,20201204  15:48:00,SELL,6.1018,100,57.0
BCRX,20201204  15:48:00,BUY,6.06,100,58.0
BCRX,20201204  15:48:00,SELL,6.1001,100,60.0
BCRX,20201204  15:48:00,BUY,6.06,100,61.0
BCRX,20201204  15:48:00,SELL,6.1001,100,63.0
BCRX,20201204  15:48:00,BUY,6.06,100,64.0
BCRX,20201204  15:48:00,SELL,6.1004,100,66.0
BCRX,20201204  15:48:00,BUY,6.06,100,67.0
TOPS,20201204  15:53:00,BUY,1.67,100,9.0
BCRX,20201204  15:54:00,BUY,6.12,100,70.0
LAZR,20201204  15:54:00,BUY,31.02,100,13.0
BCRX,20201204  15:55:00,SELL,6.075,100,72.0
TOPS,20201204  15:58:00,SELL,1.6708,100,11.0
BCRX,20201204  15:59:00,BUY,6.11,100,73.0
BCRX,20201204  16:00:00,SELL,6.085,100,75.0
LAZR,20201204  16:00:00,SELL,31.04,100,15.0
SLS,2020-12-10 14:56:00,BUY,18.51,100,301.0
SLS,2020-12-10 14:57:00,SELL,18.49,100,303.0
SLS,2020-12-10 14:58:00,BUY,18.83,100,304.0
SLS,2020-12-10 15:00:00,SELL,17.0664,100,306.0
SLS,2020-12-10 15:01:00,BUY,16.71,100,307.0
SLS,2020-12-10 15:03:00,SELL,16.55,100,309.0
SLS,2020-12-10 15:06:00,BUY,15.95,100,310.0
SLS,2020-12-10 15:07:00,SELL,15.9399,100,312.0
SLS,2020-12-10 15:10:00,BUY,16.07,100,313.0
SLS,2020-12-10 15:11:00,SELL,15.6,100,315.0
SLS,2020-12-10 15:13:00,BUY,15.27,100,316.0
SLS,2020-12-10 15:15:00,SELL,15.45,100,318.0
SLS,2020-12-10 15:16:00,BUY,15.79,100,319.0
SLS,2020-12-10 15:30:00,SELL,15.96,100,321.0
SLS,2020-12-10 15:36:00,BUY,17.17,100,20.0
SLS,2020-12-10 15:38:00,SELL,17.21,100,22.0
